Company,Location,Description,Business Model,Capabilities,Key Features,Group,Website,Phone,Email,Twitter,LinkedIn,Lending,Banking and Personal Financial Management(PFM),Payments and Money transfer,Cyber Currency & Blockchain,Wealth & Investment Management,Robo Advisor,Financial Crime & Cybersecurity,Capital Markets,AI
Kosmo Credit," London, Ontario ","Kosmo is a new company that specialized in giving people fast and reliable loans. Kosmo utilizes the highly secure information gathering technology to gather user information and give clients their customized rates and loan amount based on the information they gave us. We make it simple and fast for people to get loans, and we make direct deposits to clients' bank account as fast as next day. Kosmo Credit is currently operating in all provinces within Canada.",B2C,Inhouse team,"Online Finance, Consumer Finance, Personal Loans, and Innovative Technology",FinTech Venture,,,,,https://www.linkedin.com/company-beta/9424191/,v,,,,,,,,
Lendful,Vancouver ,Personal Loans based on credit raitng and application approvals. ,B2C,Not technically inclined. Have online application process. ,"Consumer lending, Marketplace Lending, Peer-to-Peer Lending, and P2P",Fin Services,https://lendful.ca/#/home,,info@lendful.ca,https://twitter.com/lendfulloans,https://www.linkedin.com/company-beta/6425659/,v,,,,,,,,
Lending Loop,Toronto,Connecting small businesses with Canadian investors is Lending Loop's way to help these small businesses grow. Lending Loop is Canada's first fully regulated peer-to-peer lending platform focused on small business.,B2B,Inhouse team,,FinTech Venture,https://www.lendingloop.ca/about,(888) 223-5667,contact@lendingloop.ca,https://twitter.com/lendingloop,https://www.linkedin.com/company-beta/5166811/,v,,,,,,,,
Lendified,Toronto,Lendified is Canada's premier online lender for small businesses and offers a customizable platform available to financial institutions throughout the world.,B2C,Inhouse team,,FinTech Venture,https://www.lendified.com/,1.844.451.3594,,https://twitter.com/lendified,https://www.linkedin.com/company-beta/10043433/,v,,,,,,,,
Lendingarch,Calgary,"LendingArch is a modern finance company reinventing the lending experience. Through smart technology and exceptional customer experience, LendingArch has become one of Canada’s fastest-growing providers of instant credit to financially responsible Canadians. From medical expenses, debt consolidation, home improvement costs and help with personal growth, LendingArch is dedicated to bringing financial advancement to consumers who deserve to live a happy life, at their rate.",B2C,Inhouse team,,FinTech Venture,https://lendingarch.ca/,+1-844-900-Arch, hello@lendingarch.com,,https://www.linkedin.com/company-beta/10017410/,v,,,,,,,,
Marble Financial,Vancouver ,"Marble Financial (MLI Marble Lending, Inc) is developing Canada's first mobile/online Marketplace Lending Platform (MLP) offering clients a convenient, personalized, full-circle solution for managing debt, tracking budgets and monitoring personal financial health. Marble’s proprietary, scalable, cloud-based infrastructure and dashboard provide a diverse portfolio of loan products and services.",B2C,Inhouse team,"Fintech, Online Security, Software Development, API Development, Integration Services, Project Management, VPNs, Firewalls, and Financial Dashboard",FinTech Venture,https://marblefinancial.ca/,604–336–0185,info@marblefinancial.ca,https://twitter.com/marble2go,https://www.linkedin.com/company-beta/10219196/,v,,,,,,,,
Merchant Advance Capital,"Vancouver, Toronto","Our innovative approach blends thoughtful customer care, complete transparency and smart technology to provide accessible financing that makes sense. Merchant Advance Capital's modern financing option allows small business owners fast & easy, no-collateral access to working capital, with flexible payback options responsive to the ebbs and flows of business cycles.",B2C,Not technically inclined. Have online application process. ,"Alternative Lending, Lending, Small Business Lending, Business Loans, Line of Credit, and Equipment Leasing",Fin Services,https://www.merchantadvance.com/,604-757-4602,clients@merchantadvance.com,https://twitter.com/advancecapital,https://www.linkedin.com/company-beta/1197889/,v,,,,,,,,
Mogo,Vancouver ,"By leveraging technology and design we're building a financial brand that's transforming the way Canadians access, manage, and control credit. ",B2C,Inhouse team,"Personal  Loans, Mortgage, Credit Score, Spending account",FinTech Venture,https://www.mogo.ca/,,,https://twitter.com/mogomoney/,,v,,v,,,,,,
OnDeck Capital,New York,"Created to provide capital to small businesses. Evaluates business’ actual performance, not just personal credit.",B2C,Not technically inclined. Have online application process. ,,Fin Services,https://en-ca.ondeck.com/company/, (888) 727-6183,,https://twitter.com/OnDeckCapital/,,v,,,,,,,,
Progressa,Vancouver ,"Progressa is Canada's only 'Direct-Pay'​ lender focused solely on non-prime and near-prime consumers. Our online technology platform ""Powered by Progressa""​ allows us to provide our B2B partners a seamless borrowing experience for their customers, and our data-driven underwriting approach allows us to work through complex financial situations in 15 minutes or less.",B2B,Inhouse team,,FinTech Venture,http://progressa.com/,1-855-723-5626,info@progressa.com,https://twitter.com/progressacanada,https://www.linkedin.com/company-beta/9479920/,v,,,,,,,,
Ratehub,Toronto,RateHub is an independent website dedicated to connecting you to the best mortgage rates and credit card deals in Canada.,B2B,Inhouse team,"Mortgage rates, Mortgage calculators, Mortgage rate API, Financial Services leads, Credit card deals, and Credit card comparisons",FinTech Venture,https://www.ratehub.ca/,(416) 901-6187,admin@ratehub.ca,https://twitter.com/RateHub,https://www.linkedin.com/company-beta/2349594/,v,v,,,v,,,,
Thinking Capital,Toronto,"Thinking Capital is the leader in the Canadian Alternative Lending space, leveraging technology to be at the forefront of the FinTech industry. Since 2006, they have helped more than 10,000 small-to-medium sized Canadian businesses reach their full potential. By combining their people and technology, Thinking Capital is transforming the way business owners get the capital they need to grow.",B2B,Inhouse team,,FinTech Venture,https://www.thinkingcapital.ca/,866-889-9412,info@thinkingcapital.ca,https://twitter.com/ThinkingCapCA,https://www.linkedin.com/company-beta/1402251/,v,,,,,,,,
Vault Circle,Toronto,"Vault Circle Inc. is a digital lending investment firm that will connect accredited investors with short-term, high-yield small business loans in the form of investor notes. These investments will appeal to investors seeking income and strong portfolio cash flows. Vault Circle is an affiliate of Lendified Inc., a premier online provider of working capital loans to Canadian small businesses",B2B,Partners with Lendified,"Investing, and Marketplace Lending",Fin Services,http://www.vaultcircle.com/, 416.861.8181ext. 510,marcel.schroder@vaultcircle.com,https://twitter.com/vaultcircleinc,https://www.linkedin.com/company-beta/9345644/,v,,,,,,,,
Wonga,UK (HQ),Wonga Group Limited is made up of a number of international financial services businesses. We are best known for our Wonga short term loan product.,B2B,Inhouse team,"We provide automated decisions to applicants based on the information they provide in the application, data from Credit Reference Agencies and other sources. All applicants are credit checked and need to pass stringent lending and affordability criteria.",FinTech Venture,https://www.wonga.com/,0207 138 8330,customercare@wonga.com,,,v,,,,,,,,
Zayzoon,Calgary,"With ZayZoon, employees and staff can access their funds in advance of their pay day. Provided at no cost to employers - this is the secure, easy and private way to provide advances to employees.Employees access ZayZoon from their mobile device or through the PayChequer site",B2B,Inhouse Team,Integrated with PayChequer,Fin Tech,zayzoon.com,,,https://twitter.com/zayzoontransfer,https://www.linkedin.com/company-beta/4825335/,v,,v,,,,,,
PitchPoint,Toronto,"PitchPoint Solutions is a national provider of comprehensive fraud detection and verification services for multiple industries, including mortgage, background/ tenant screening, and anti-money laundering. With more than a decade of experience in customizable risk evaluation technology and processing, PitchPoint Solutions' heuristic/rule-based data collation, analysis and Expert Services stamps out 99% of fraud alerts while eliminating 100% of lost underwriting time.",B2B,Inhouse Team,"Fraud Detection, Mortgage Data Validation, Fraud Compliance Review, Mortgage Loan Portfolio Review",Fin Tech,http://www.pitchpointsolutions.com/,416.591.7476,,,https://ca.linkedin.com/company/pitchpoint-solutions,v,,,,,,v,,
Zensurance,Toronto,"Zensurance is leading the technology revolution in the insurance industry, and demystifying insurance for start-ups and small businesses. By using data and analytics to identify the most common risks, Zensurance is able to create curated insurance packages ideally suited for each industry. Small business owners no longer have to wade through endless forms and play phone-tag: they can learn about all their needs and purchase at their own convenience within minutes online. ",B2C,Inhouse Team,,FinTech Venture,https://www.zensurance.com/about,,,https://twitter.com/zensurance,https://www.linkedin.com/company-beta/10486499/,,v,,,,,,,
Fentury,Toronto,Efficient finance management is about saving both money and time. With Fentury you can connect all your bank and e-Wallet accounts and we’ll automatically structure your data and always keep you up-to-date. FENTURY is a next generation automatic personal finance manager. You can automatically import data from your financial accounts or manage your cash flow from one place to better understand your financial situation. Keep track on your finances with multiple reports and plan for the future with Fentury budgets. Get your finances under control!,B2B,Inhouse Team,"Personal Finance Management, Automatic Finance Management, Financial WEB Manager, and Financial Mobile App",Fin Tech, https://www.fentury.com,,hello@fentury.com,https://twitter.com/fenturyapp,https://www.linkedin.com/company-beta/10003220/, ,v,,,,,,,
Finn.ai,Vancouver,"Finn.ai is a full-featured conversational banking platform. Our white-label chatbots are personal financial management assistants, powered by AI. Banks and other financial institutions are able to put a personal banker and financial advisor in every customer's pocket; reach them on any chat platform, native app, website chat interface and more. ",B2B,Inhouse Team,,Fin Tech ,http://finn.ai/,,sales@finn.ai,https://twitter.com/finnforbanks,https://www.linkedin.com/company-beta/10062817/, ,v,,,,,,,v
Koho,Vancouver,"Our Smart Spending Account lets you send transfers, pay bills, save automatically, use ATMs, while letting you know how you spend – everything you need for the modern world and it’s all free. ",B2C,Inhouse Team,"Koho offers the Koho Visa* Prepaid Card and mobile app that together allow users to manage daily financial needs (direct paycheque load, bill pay, atm cash withdrawals, etc.), while offering tools such as automated savings goals, real-time updates, transfers, spending insights and categorizations and much more. ",FinTech Venture,https://www.koho.ca/,1-855-564-6999, team@koho.ca,,https://twitter.com/GetKoho, ,v,v,,,,,,
perfiqt,Montreal,AI to help you answer your toughest financial questions. Fast. Easy. Free And we can do it for millions of people. Personally Perfiqt replaces traditional financial planning with fun and engaging question-answer process In just a few minutes you can visualize your entire life and get personal insights to help you make smarter life decisions yourself. ,B2C,Inhouse Team,,FinTech Venture,,,,https://twitter.com/perfiqt,https://www.linkedin.com/company-beta/10817939/,,v,,,,,,,v
BitGold,Toronto,"On May 22, 2015, BitGold Inc. announced the acquisition of GoldMoney Inc. The Goldmoney™ App for iOS and Android provides access to all Dashboard features and functions, enabling you to manage your Holding and buy, sell, exchange, and redeem precious metal bullion through an easy-to-use and highly secure interface. Need to make a payment? Send and accept precious metal payments to and from other Goldmoney Holdings and businesses, and earn metals by referring friends and family to Goldmoney.",B2C,Inhouse Team,"Powered by Goldmoney’s patented technology, the Goldmoney Holding® is an online account that enables clients to invest, earn, or spend gold, silver, platinum, and palladium bullion that is securely stored in insured vaults located around the world. ",FinTech Venture,https://www.goldmoney.com/, 1-855-583-(4653),,https://twitter.com/Goldmoney,https://www.linkedin.com/company/5357470/,,v,,,,,,,
EQBank,Toronto,"At EQ Bank, our digital banking division, we’re focused on building a better banking experience. With free everyday banking that you can access from your phone, EQ Bank makes sense in today’s world. ",B2C,Inhouse Team,Not technically inclined. Have online application process.  ,Fin Services,https://www.eqbank.ca,1-844-437-2265,contact@eqbank.ca,https://twitter.com/EQBank,https://www.linkedin.com/company-beta/515301/,v,v,,,,,,,
Mint,Supports most Canadian Banks (HQ- California),"Mint.com is a free, web-based personal financial management service for the US and Canada, created by Aaron Patzer. Mint originally provided account aggregation through a deal with Yodlee, but has since moved to using Intuit for connecting to accounts. Mint's primary service allows users to track bank, credit card, investment, and loan balances and transactions through a single user interface, as well as create budgets and set financial goals. In 2009, Mint was acquired by Intuit, the makers of Quicken and TurboTax.",B2B,Inhouse Team,Acquired by Intuit,Fin Tech,https://www.mint.com/,,,https://twitter.com/mint,,,v,,,,,,,
OneLife Financial Solutions,Toronto,ONELIFE Wealth Management is your solution-based financial planning organization. We know that what you keep is far more important than what you make. Work with us to build a customized plan to secure your financial future.,,Not technically inclined. Have online application process.  ,Debt Elimination Solutions,Fin Services,http://www.onelifewealth.com/,613-741-5460,info@onelifewealth.com,,https://www.linkedin.com/company-beta/2019887/,,v,,,v,,,,
Proliteracy,Toronto,Proliteracy helps in seeing the complete financial picture. Forecast cost of an education. Explore financing options and Learn from the community. Proliteracy.ca uses open data to help Canadians plan financially for post-secondary education.,,Not technically inclined. Have online application process.  ,"Proliteracy.ca for business, Proliteracy.ca for schools",FinTech Venture,hello@proliteracy.ca,,,https://twitter.com/proliteracyca,,,v,,,,,,,
RateSeer,Calgary,"RateSeer is a new fintech startup that helps consumers find the most competitive banking, mortgage, credit card and loan rates. RateSeer also offers services to financial professionals that provide them with up to the minute detection and notification of changes to thousands of market rates, commodities, currency and economic indicators.",,Inhouse Team,"RateSeer is always monitoring thousands of banks, credit card companies and loan providers to look for changes in service rates, terms and offerings. ",FinTech Venture,http://www.rateseer.com/,,info@rateseer.com,https://twitter.com/rateseerco,,v,v,,,,,,,
Sensibill,Toronto,"Sensibill allows banking customers to manage their line-item receipts directly from their desktop and mobile banking applications. Customers use the service to keep track of important receipts for returns, exchanges, expenses, accounting, and taxes. Sensibill also leverages item-level purchase data to deliver additional value to customers including enhanced personal financial management and reminders for return and warranty expiry dates. We help power the future of banking innovation to allow financial institutions to better engage and retain their customers, leading to increased revenue and cost savings. ",B2B,Inhouse Team,"Digital Receipts, Omni-channel, Digital Banking, and Personal Financial Management",Fin Services,http://getsensibill.com,,,https://twitter.com/getsensibill,https://www.linkedin.com/company-beta/3513561/,,v,,,,,,,
Zag Bank,Toronto,"Zag Bank is a part of the Desjardins Group, the leading cooperative financial group in Canada and the sixth largest cooperative financial group in the world. That has always provided us with the stability and resources we need to offer Canadians a new way to bank today and in the future. We started serving clients as Bank West in 2003 and changed our name to Zag Bank in 2014 to reflect our commitment to doing things differently.  we have chosen to offer all of our services online.",B2B,Inhouse Team,Zag Bank has been a wholly owned subsidiary of Desjardins Group since being acquired in 2011.,Fin Tech,https://www.zagbank.ca/,,,https://twitter.com/zagbank,,v,v,,,,,,,
Bench,Vancouver,"Online bookkeeping for your business. We give you a team of bookkeepers to do your books, and simple, elegant software to track your finances.",B2B,Inhouse ,"Bookkeeping is a universal point of pain for entrepreneurs, and we’re changing that.",Service Provider,https://bench.co/,1 (888) 760 1940,help@bench.co,https://twitter.com/bench,,,v,,,,,,,
Ferst Digital,Montreal,"Our purpose is to make you and your business more successful by bringing business banking into the 21st century. We're building Canada's first mobile-first API-based banking platform that helps startups and small businesses bank, manage their finances, and integrate all of their financial tools in a simple and intuitive way. ",B2B,Inhouse ,,Service Provider,https://www.ferstdigital.com/about,,,https://twitter.com/ferstdigital,https://www.linkedin.com/company-beta/11065927/,,v,,,,,,,
Mentio,Vancouver,"Automatic Cash Flow Forecast. Quickly see what money is coming in, and what bills you need to pay.  Catch any cash shortfalls before they happen. Get Paid Faster Mentio lets you know who to send reminders to – customers that usually pay late, and those that are already late. Plus, reminders are a breeze with one click emails.",B2B,Inhouse ,,Service Provider,http://www.mentio.ca/,(604) 352-2828,info@mentio.ca,https://twitter.com/mentiohq,,,v,,,,,,,
Wagepoint,Waterloo,,,,,,,,,,,,,,,,,,,
Wave,Toronto,"online accounting, small business, software development, SaaS, invoicing and payments, cloud based accounting application, payroll, receipts, risk, and product development",B2B,Inhouse ,"online accounting, small business, software development, SaaS, invoicing and payments, cloud based accounting application, payroll, receipts, risk, and product development",Service Provider,https://www.waveapps.com/,,info@waveapps.com,https://twitter.com/wavehq,https://www.linkedin.com/company-beta/1196866/,,,,,,,,,
Carta Worldwide,Toronto,"Carta is an award-winning leader in digital transaction processing and enablement technologies, including Cloud Based Payments and Host Card Emulation (HCE), Tokenization, and Value Added Services such as Digital Offers, Loyalty and Stored Value solutions.",B2B,Inhouse team,"Carta empowers banks, MNOs, OEMs, merchants, program managers and others to enable existing cardholder accounts or issue new and innovative products for the digital world. Carta’s unique Cloud Suite platform enables rapid deployment of mobile solutions with breakthrough technology that overcomes technical constraints of existing systems and infrastructure.",Fin Tech,https://cartaworldwide.com/,+1 416 840 5611,info@cartaworldwide.com,https://twitter.com/cartaworldwide,https://www.linkedin.com/company-beta/574946/,v,,v,,,,,,
DreamPayments,Toronto,"Dream Payments enables merchants to sell everywhere using mobile devices. Dream’s cloud-based payment platform combined with its mobile point of sale device allows merchants to accept credit and debit cards, access rich analytics and reports, and provide digital receipts to customers. Dream’s solutions are secure, EMV compliant, and accept Contactless and Chip payment cards.",B2B,Inhouse team,"mobile point of sale, merchant solutions, credit card payments, debit card payments, merchant services, MPOS Platform, EMV, and payment processing",Fin Tech,http://www.dreampayments.com/,,,https://twitter.com/dreampayments,https://www.linkedin.com/company-beta/5305951/,,,v,,,,,,
Ethoca,,"Ethoca is a secure network for card issuers and merchants to connect and work cooperatively outside the payment network in a unique and powerful way. Ethoca, through its innovative services, helps connect card issuers to online merchants to stop fraud that slips through their defences and recapture lost revenues.",B2B,Inhouse team,"thoca’s network consists of card issuing banks and online merchants working cooperatively together through a single, automated, secure connection outside the payment networks stream to their mutual benefit. ",Fin Tech,https://www.ethoca.com/,203.6088039,sales@ethoca.com,https://twitter.com/Ethoca,https://www.linkedin.com/company-beta/113996/,,,v,,,,v,,
sounpays,Toronto,"Soundpays is a scalable, secure and ubiquitous mobile payment technology that enables transactions using inaudible sound waves from any speaker. We are the first and only technology to make purchasing directly from a video possible. Soundpays works using any device with a microphone and internet connection, allowing purchasing from TV & radio, online and in-store. ",B2C,Inhouse Team,,FinTech Venture,https://soundpays.com/,1-800-341-1875,,,https://www.linkedin.com/company-beta/10135105/,,,v,,,,,,
Tacit Innovations,Toronto,"Tacit Innovations is a fast growing technology company that is quickly being recognized as a relevant player transforming the way restaurants engage and service their customers. The company’s capabilities take advantage of mobile technologies and cutting edge platform development to enable innovative, progressive, relevant and easy to use customer experiences. Tacit Innovations is on a quest to revolutionize the way consumers discover, browse, order and pay for their meals at their favorite restaurant.",B2B,Inhouse Team,maegan™ is the company’s initial offering targeted to serve the hospitality industry. ,Fin Tech,http://tacitinnovations.com/,(866) 962-3426,info@tacitinnovations.com,,https://www.linkedin.com/company-beta/2929954/,,,v,,,,,,
Braintree Payments ,Operates in Canada (HQ in US),"We provide the global commerce tools people need to build businesses, accept payments, and enable commerce for their users. It’s the simplest way to get paid for your great ideas -- across any device, and through almost any payment method. Merchants in more than 40 countries worldwide can accept, split, and enable payments in more than 130 currencies using Braintree.",B2B,Inhouse Team,Acquired by PayPal ,Fin Tech,braintreepayments.com,877.511.5036,info@braintreepayments.com,https://twitter.com/braintree,,,v,v,,,,,,
ChangeJAr,Ottawa ,"ChangeJar is a mobile app that allows you to carry cash on your phone. Use that cash to: TIP, TRANSFER, PAY. Payments with ChangeJar are quick and easy. All it takes is a scan of your phone and it’ll be processed in seconds.","B2B, B2C",Inhouse Team,,FinTech Venture,https://www.changejar.com/,,info@changejar.com,https://twitter.com/ChangeJarMobile,,,,v,,,,,,
Control,Vancouver,"Control is a leader in mobile payment analytics and alerts for SaaS, subscription and eCommerce businesses, enabling instant intelligence anywhere via its Android, iOS, and web-based products. Control consolidates data from multiple sources such as PayPal, Square and Stripe, to provide real-time revenue and customer information, fraud detection, and key metrics customized to your business type — instantly.",B2B,Inhouse Team,"Stripe, Mobile App, Payments, PayPal, Square, Analytics, Web App, and Omnichannel Analytics",Fin Tech,https://www.getcontrol.co/,,,https://twitter.com/GetControlApp,https://www.linkedin.com/company-beta/3660959/,,,v,,,,,,
Digital Retail Apps ,Toronto,"Digital Retail Apps is a mobile application that enables users to scan, view, and purchase items through their smartphones.",B2C,Inhouse Team,SelfPay extends retailers’ existing POS to the mobile device and offers a large selection of major payment methods -- all within a retailer branded in-app shopping experience. SelfPay is the natural and inevitable evolution of POS.,Fin Tech,http://digitalretailapps.com/about/,,,https://twitter.com/digitalretail,,,,v,,,,,,
Berkeley Payment,Toronto,"Berkeley Payment Solutions delivers MasterCard and Visa prepaid card programs for corporations, governments, and financial institutions. As a trusted payment solutions provider, we help clients navigate the payments industry ecosystem and offer an extensive suite of services including prepaid card program management, product development, accounting and reporting, IT consulting and integration, processing, card design, and card fulfillment.",B2B,Inhouse Team,"Prepaid Visa Card Programs, Rebate, Government, Reimbursements, Incentive, and Loyalty",Fin Tech,http://berkeleypayment.com/,1-888-642-2881,info@berkeleypayment.com.,,https://www.linkedin.com/company/560764/,,,v,,,,,,
CardSwap ,Toronto,"The CardSwap platform offers Canadians a fast, easy, and completely secure way to sell unwanted gift cards for cash, buy gift cards and earn rewards, and even donate gift cards to a charitable cause.",B2C,Inhouse Team,"Online portal for buying, selling and Redeeming gift cards,",FinTech Venture,https://www.cardswap.ca/,1 (416) 491-2233,clientcare@cardswap.ca,,,,,v,,,,,,
Dwello ,Toronto," We're proudly Canadian company that has been processing rental payments since 2012. We've been working together with Canadian payment providers, lawyers and jumping over hurdles to bring you this service to the property management landscape, and we're only looking to do more.",B2B,Inhouse Team,,FinTech Venture,http://www.dwello.com/,     1 (877) 217-9185,,https://twitter.com/dwello,,,,v,,,,,,
Everpay ,Montreal,"Everpay is an online, multinational payment transaction company that specializes in electronic payment solutions; providing a platform that allows for safe, secure payment transactions and money transfers to be made via the Internet. Online payment transactions have already gained popularity when shopping with credit cards and serve as an electronic alternative to paying with paper based methods, such as checks or money orders. With the advent of several technologies and Wi-Fi devices enabling the increased use of electronic payments Everpay has set very ambitious yet achievable targets in order to provide a new paradigm in the realm of financial service provision. ",B2B,Inhouse Team,,FinTech Venture,http://www.everpayinc.com/,+1 416 847 6786,,https://twitter.com/Everpay,,,,v,,,,,,
